Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1666.44865002629,1498.1045669026,1806.23416682495,1822.97848351681,1777.45406899787,1907.59701357669,1928.29421602143,2155.89816122615,2196.10036842951,2572.58958889668,2858.12696496557,2766.34209587397,2994.48631913259,3054.45157082501,3024.98212032803,2974.57332173451,2964.2871729567,2956.7699250337,2906.84260021104,2933.9585984536,2776.56152113396,2138.87024713086,1955.21290440094,..
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,41.6271864684651,41.6953029189524,41.7691668785528,41.8853766782279,42.0593887198501,42.3141327571861,42.6201405335114,42.9187974461615,43.2083750435887,43.4894284281289,43.7592715650739,44.0151410825322,44.2605080602237,44.4977192608626,44.7285117535112,44.9499012369929,45.1597601419849,45.3646939816162,45.5686425294341,45.7722670594067,45.9728550490178,46.1650423860811,46.3499581717949,46.507146848665,46.6609847929259,46.8224818131924,46.970919060034,47.0996849872873,47.2213523826043,47.3372457297943,47.474496007217,47.6428472447194,47.8215139159388,48.001529589196,48.2181114886561,48.466018942059,48.7306518705022,49.0016341163514,49.2689718539834,49.5154857037621,49.7182582034242,49.8659492984086,49.9436209267254,49.9614310008377,49.9220361703005,49.6154806542516,49.2306747206613,49.6953911336511,49.8904632307041,49.3195082801243,48.9689982912891,48.2643602343821,47.4324904337073,46.867620814212,46.2315378217709,45.7921058791564,45.5209667513396,45.1186155199624,44.7084445995593,44.2913519225043,43.8079121491391,43.424542703341,43.1306335411773,42.8451173150362
Afghanistan,AFG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.000848873,0.000901471,0.00196664,0.00192977,0.00188803,0.00364085,0.00530334,..,0.00490837,0.00474343,0.00457421,0.0208887,0.0253627,0.0257279,0.0435429,0.0519942,0.0680079,0.0664243,0.0796302,0.0800873
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,..,..
Afghanistan,AFG,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,8.401,8.684,8.976,9.276,9.586,9.904,10.233,10.57,10.918,11.275,11.643,12.021,12.41,12.809,13.219,13.641,14.074,14.517,14.973,15.442,15.995,16.562,17.147,17.747,18.365,18.997,19.647,20.314,20.998,21.088,21.177,21.266,21.355,21.444,21.534,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616,26.933
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5377.9446565558,3895.41628837015,3637.44034973841,4009.54865526712,4369.19561322821,4981.95327417341,5469.19726589039,4902.52799610365,5369.07630993237,6099.70392549286,6565.11270374311,7176.61337361852,7524.71323513617,7970.49316514895,8445.26113769001,8957.70965522176,9546.49301184324,10194.4353479055,11043.4389767839,11491.0450042866,11976.3214674401,12314.2504385294,12509.4156460404,12657.9317259324,12909.2407950878,13234.1440599067,13694.7310779137,14228.5670700585,14837.0249272247,15211.4433111205,14793.8528859268,16261.804554188,17260.1194661056,18059.9379072012
