,DONid,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,ISO,OutbreakEpicenter,CasesTotal,in_dis,year,id,Notes,Serology Info,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Barbados,BRB,NA,543,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Belize,BLZ,NA,95,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Brazil,BRA,NA,112939,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Virgin Islands (UK),VGB,NA,4,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Cayman Islands,CYM,NA,1,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Colombia,COL,NA,107,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Costa Rica,CRI,NA,4786,,1995,,,"Yes, no prop",
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Dominica,DMA,NA,193,,1995,,,"Yes, no prop",
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Dominican Republic,DOM,NA,1252,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Ecuador,ECU,NA,2899,,1995,,Cases in WHO much higher than open dengue,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,El Salvador,SLV,NA,2899,,1995,,,"Yes, no prop",
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Guatemala,GTM,NA,3402,,1995,,,"Yes, no prop",
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Grenada,GRD,NA,2,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Guyana,GUY,NA,3,,1995,,,No,
AP_edit,DON-1996-01-22-b,1996 - Dengue in the Americas,1/22/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22b-en/,Dengue fever,NA,Honduras,HND,NA,18266,,1995,,,"Yes, no prop",
