"","ISO_A0","adjusted_year","cases","full_name","continent","label_y","hemisphere","join","total_missing","YearN","YearN2","YearN3","YearN4","population_total","ave_cases","avg_inc","YearN_continent","YearN_country","offset1","country","countryID","continentID"
"1","ABW",1990,0,"Aruba","Caribbean",12.5174,"north","ABW 1990",13,1,1,1,1,62753,302.657142857143,290.71501900659,"Caribbean_1","ABW_1",0.62753,"ABW",1,2
"2","ABW",1991,0,"Aruba","Caribbean",12.5174,"north","ABW 1991",13,2,2,2,2,65896,302.657142857143,290.71501900659,"Caribbean_2","ABW_2",0.65896,"ABW",1,2
"3","ABW",1992,0,"Aruba","Caribbean",12.5174,"north","ABW 1992",13,3,3,3,3,69005,302.657142857143,290.71501900659,"Caribbean_3","ABW_3",0.69005,"ABW",1,2
"4","ABW",1993,0,"Aruba","Caribbean",12.5174,"north","ABW 1993",13,4,4,4,4,73685,302.657142857143,290.71501900659,"Caribbean_4","ABW_4",0.73685,"ABW",1,2
"5","ABW",1994,0,"Aruba","Caribbean",12.5174,"north","ABW 1994",13,5,5,5,5,77595,302.657142857143,290.71501900659,"Caribbean_5","ABW_5",0.77595,"ABW",1,2
"6","ABW",1995,37,"Aruba","Caribbean",12.5174,"north","ABW 1995",13,6,6,6,6,79805,302.657142857143,290.71501900659,"Caribbean_6","ABW_6",0.79805,"ABW",1,2
"7","ABW",1996,10,"Aruba","Caribbean",12.5174,"north","ABW 1996",13,7,7,7,7,83021,302.657142857143,290.71501900659,"Caribbean_7","ABW_7",0.83021,"ABW",1,2
"8","ABW",1997,0,"Aruba","Caribbean",12.5174,"north","ABW 1997",13,8,8,8,8,86301,302.657142857143,290.71501900659,"Caribbean_8","ABW_8",0.86301,"ABW",1,2
"9","ABW",1998,0,"Aruba","Caribbean",12.5174,"north","ABW 1998",13,9,9,9,9,88451,302.657142857143,290.71501900659,"Caribbean_9","ABW_9",0.88451,"ABW",1,2
"10","ABW",1999,130,"Aruba","Caribbean",12.5174,"north","ABW 1999",13,10,10,10,10,89659,302.657142857143,290.71501900659,"Caribbean_10","ABW_10",0.89659,"ABW",1,2
"11","ABW",2000,76,"Aruba","Caribbean",12.5174,"north","ABW 2000",13,11,11,11,11,90588,302.657142857143,290.71501900659,"Caribbean_11","ABW_11",0.90588,"ABW",1,2
"12","ABW",2001,0,"Aruba","Caribbean",12.5174,"north","ABW 2001",13,12,12,12,12,91439,302.657142857143,290.71501900659,"Caribbean_12","ABW_12",0.91439,"ABW",1,2
"13","ABW",2002,25,"Aruba","Caribbean",12.5174,"north","ABW 2002",13,13,13,13,13,92074,302.657142857143,290.71501900659,"Caribbean_13","ABW_13",0.92074,"ABW",1,2
"14","ABW",2003,0,"Aruba","Caribbean",12.5174,"north","ABW 2003",13,14,14,14,14,93128,302.657142857143,290.71501900659,"Caribbean_14","ABW_14",0.93128,"ABW",1,2
"15","ABW",2004,173,"Aruba","Caribbean",12.5174,"north","ABW 2004",13,15,15,15,15,95138,302.657142857143,290.71501900659,"Caribbean_15","ABW_15",0.95138,"ABW",1,2
