"","mean","sd","0.025quant","0.5quant","0.975quant","mode","X","ISO_A0","adjusted_year","cases","full_name","continent","label_y","hemisphere","join","total_missing","YearN","YearN2","YearN3","YearN4","population_total","ave_cases","avg_inc","YearN_continent","YearN_country","offset1","country","countryID","continentID"
"fitted.Predictor.0001",0.707444672619914,2.63546536772603,0.00694318694734074,0.180047855844649,4.61444703374293,0.011510153607863,1,"ABW",1990,0,"Aruba","Caribbean",12.5174,"north","ABW 1990",13,1,1,1,1,62753,302.657142857143,290.71501900659,"Caribbean_1","ABW_1",0.62753,"ABW",1,2
"fitted.Predictor.0002",0.568398863391912,1.83708979884827,0.00757823886335892,0.165739822245896,3.60101476271365,0.0140547399627718,2,"ABW",1991,0,"Aruba","Caribbean",12.5174,"north","ABW 1991",13,2,2,2,2,65896,302.657142857143,290.71501900659,"Caribbean_2","ABW_2",0.65896,"ABW",1,2
"fitted.Predictor.0003",0.561345133608503,1.50643071997449,0.0111392165398569,0.19448327491289,3.37944417382105,0.0232840895757289,3,"ABW",1992,0,"Aruba","Caribbean",12.5174,"north","ABW 1992",13,3,3,3,3,69005,302.657142857143,290.71501900659,"Caribbean_3","ABW_3",0.69005,"ABW",1,2
"fitted.Predictor.0004",0.289835389581214,0.83784268772634,0.00488143853131879,0.0937276860161543,1.78471873346233,0.00973125667350156,4,"ABW",1993,0,"Aruba","Caribbean",12.5174,"north","ABW 1993",13,4,4,4,4,73685,302.657142857143,290.71501900659,"Caribbean_4","ABW_4",0.73685,"ABW",1,2
"fitted.Predictor.0005",0.249886208850649,0.725293584160962,0.00412951721320663,0.0803880756724447,1.54142064681504,0.00818590582212045,5,"ABW",1994,0,"Aruba","Caribbean",12.5174,"north","ABW 1994",13,5,5,5,5,77595,302.657142857143,290.71501900659,"Caribbean_5","ABW_5",0.77595,"ABW",1,2
"fitted.Predictor.0006",46.034898179143,7.65532102997413,32.8481056487111,45.4112948196812,62.7793099099939,44.1891857929032,6,"ABW",1995,37,"Aruba","Caribbean",12.5174,"north","ABW 1995",13,6,6,6,6,79805,302.657142857143,290.71501900659,"Caribbean_6","ABW_6",0.79805,"ABW",1,2
"fitted.Predictor.0007",11.9706808399542,3.90585673485315,6.09924735297816,11.3802081996048,21.2335782332336,10.2857292705101,7,"ABW",1996,10,"Aruba","Caribbean",12.5174,"north","ABW 1996",13,7,7,7,7,83021,302.657142857143,290.71501900659,"Caribbean_7","ABW_7",0.83021,"ABW",1,2
"fitted.Predictor.0008",1.0426787904449,1.3163384871862,0.0947972509923266,0.647162456895595,4.39330909966914,0.248872299450674,8,"ABW",1997,0,"Aruba","Caribbean",12.5174,"north","ABW 1997",13,8,8,8,8,86301,302.657142857143,290.71501900659,"Caribbean_8","ABW_8",0.86301,"ABW",1,2
"fitted.Predictor.0009",1.67510066700742,1.62780321886292,0.241402742566494,1.20136317451465,5.94474928508525,0.617333279842121,9,"ABW",1998,0,"Aruba","Caribbean",12.5174,"north","ABW 1998",13,9,9,9,9,88451,302.657142857143,290.71501900659,"Caribbean_9","ABW_9",0.88451,"ABW",1,2
"fitted.Predictor.0010",143.758182766834,12.6904713424391,120.480185480964,143.201308532784,170.207278827031,142.095547055506,10,"ABW",1999,130,"Aruba","Caribbean",12.5174,"north","ABW 1999",13,10,10,10,10,89659,302.657142857143,290.71501900659,"Caribbean_10","ABW_10",0.89659,"ABW",1,2
"fitted.Predictor.0011",83.1807300740755,9.6185748100199,65.9158032062456,82.6301299374483,103.58266597942,81.5391678448321,11,"ABW",2000,76,"Aruba","Caribbean",12.5174,"north","ABW 2000",13,11,11,11,11,90588,302.657142857143,290.71501900659,"Caribbean_11","ABW_11",0.90588,"ABW",1,2
