"","X","cases","adjusted_year","YearN","ISO_A0","full_name","continent","population_total","mean_fitted","dis_mean","dis_variance","dis_0.025","dis_0.975","dis_0.05","dis_0.95","dis_time","dis_all","continentID","countryID","region_join","country_join","global_post_mean","global_post_sd","region_post_mean","region_post_sd","country_post_mean","country_post_sd","total_post_mean","total_post_sd","post_variance"
"1",1,0,1990,1,"ABW","Aruba","Caribbean",62753,0.707444672619914,0.525374685490644,1.86363812066657,-2.71836564759865,2.30135468588964,-2.31311282976007,1.89464311903351,0.525374685490644,0.13891566887031,2,1,"Caribbean_1","ABW_1",0.000641663897469316,0.0152185065,0.739681124140294,0.513240365517383,-0.215407780329316,1.27941507997406,0.524915007708447,1.80787395199144,3.26840822628915
"2",2,0,1997,8,"ABW","Aruba","Caribbean",86301,1.0426787904449,-1.47798352519363,1.16766359326003,-3.27194975642411,0.694450240580956,-2.9513046553922,0.372919216038949,-1.47798352519363,-1.86444254181397,2,1,"Caribbean_8","ABW_8",0.000795015525876561,0.0154192915137868,-0.182297790741779,0.41769275954609,-1.27350676233542,0.992643163282635,-1.45500953755132,1.42575521434251,2.03277793122486
"3",3,11,2020,31,"ABW","Aruba","Caribbean",108587,11.377931688681,-1.30662588316835,0.568939236625991,-2.93842795245358,-0.384172772780682,-2.72947402362639,-0.58965314428863,-1.30662588316835,-1.69308489978869,2,1,"Caribbean_31","ABW_31",-0.000991699508948108,0.0157658830251227,0.353190344732312,0.399593754192191,-1.66231877818749,0.641961449325753,-1.31012013296413,1.05732108654307,1.11792788004861
"4",4,22,2023,34,"ABW","Aruba","Caribbean",107359,21.0026035219925,0.521694699178333,0.995762633516772,-1.83242864751196,1.64307999251317,-1.55496036028958,1.35747740838561,0.521694699178333,0.135235682557999,2,1,"Caribbean_34","ABW_34",0.000870231879026504,0.0154078877382705,0.621281928258674,0.482686420898029,-0.102124868906373,0.865588649203754,0.520027291231327,1.36368295784005,1.8596312095034
"5",5,1319,2016,27,"ABW","Aruba","Caribbean",108727,1213.03002264706,1.99857667573595,0.454937343024915,0.054560048601597,2.2880974989215,0.237470271537428,2.10811461951044,1.99857667573595,1.61211765911562,2,1,"Caribbean_27","ABW_27",0.000442503599878118,0.0151060676294404,0.822292336904742,0.380239522280648,1.16761493785722,0.553271080580273,1.99034977836184,0.948616670490361,0.899873587532219
"6",6,0,1991,2,"ABW","Aruba","Caribbean",65896,0.568398863391912,-0.0507849883293266,1.81885632767368,-2.7048289871294,2.29639617994019,-2.30016538591637,1.89206287999826,-0.0507849883293266,-0.437244004949661,2,1,"Caribbean_2","ABW_2",7.62837141671729e-05,0.0157543393751146,0.160267335277909,0.481125996023106,-0.203577968879172,1.26173383653466,-0.0432343498870956,1.75861417193288,3.09272380572315
"7",7,0,2003,14,"ABW","Aruba","Caribbean",93128,1.63143980968615,-2.23110314556765,0.934586121623842,-3.87104166175142,-0.361624595620066,-3.58528322406938,-0.644320719496974,-2.23110314556765,-2.61756216218798,2,1,"Caribbean_14","ABW_14",-0.000310837885997255,0.0155374473311443,-0.115815828653853,0.398281242382556,-2.11568708127965,0.88186908567353,-2.2318137478195,1.29568777538723,1.67880681128791
"8",8,173,2004,15,"ABW","Aruba","Caribbean",95138,180.722783329232,2.60119085471479,0.500295236036832,1.83831753092861,4.1811148208327,2.02823836107835,3.99057080392588,2.60119085471479,2.21473183809445,2,1,"Caribbean_15","ABW_15",-0.00096415156903204,0.0160101319125049,-0.409155936428254,0.402030867697741,3.00200058385665,0.581642422870413,2.59188049585937,0.999683422480659,0.999366945182644
"9",9,0,1998,9,"ABW","Aruba","Caribbean",88451,1.67510066700742,-1.19064841927734,0.958793375890059,-3.82102745408331,-0.267638157791646,-3.53450203755542,-0.556691124495337,-1.19064841927734,-1.57710743589768,2,1,"Caribbean_9","ABW_9",0.000918602648800626,0.016130395513665,0.857876086697423,0.40981871223973,-2.05149064590015,0.899330100178181,-1.19269595655393,1.32527920793158,1.75636497897574
"10",10,528,2013,24,"ABW","Aruba","Caribbean",105675,499.841653987964,1.02259962378925,0.460287183099862,-0.558386491942143,1.68369600839858,-0.375864964096542,1.50198499645411,1.02259962378925,0.636140607168914,2,1,"Caribbean_24","ABW_24",0.000109723488673332,0.0151436451407115,0.453282427998716,0.387046009309006,0.563211574435161,0.554484915801509,1.01660372592255,0.956674570251227,0.915226233365369
"11",11,37,1995,6,"ABW","Aruba","Caribbean",79805,46.034898179143,3.58409968394597,0.677759957567347,0.0384345701935327,2.89593250908816,0.267379333041813,2.66162825096112,3.58409968394597,3.19764066732564,2,1,"Caribbean_6","ABW_6",0.00166647035553105,0.0159752092719274,2.12627234191545,0.408908148206487,1.46443306218816,0.710660578175244,3.59237187445914,1.13554393565366,1.2894600297998
"12",12,3025,2011,22,"ABW","Aruba","Caribbean",102591,2947.99215706334,3.1942375482936,0.457179904056715,1.04681751035198,3.28474018813933,1.22931336160174,3.10367680620887,3.1942375482936,2.80777853167327,2,1,"Caribbean_22","ABW_22",-6.89116478899139e-05,0.01509266263608,1.02380536120001,0.384822070476981,2.16707253525643,0.55457754471451,3.19080898480855,0.954492277827571,0.911055508432465
"13",13,0,2007,18,"ABW","Aruba","Caribbean",100150,1.68663300568853,-3.18753374963561,0.894175028853339,-4.13124616509505,-0.718975629595116,-3.85400388742196,-0.994533833341072,-3.18753374963561,-3.57399276625594,2,1,"Caribbean_18","ABW_18",-0.000118059491313606,0.0153085410866821,-0.767333892788957,0.399174533787129,-2.42907725756673,0.861982401892243,-3.196529209847,1.27646547676605,1.62936411337559
"14",14,5,2006,17,"ABW","Aruba","Caribbean",99405,5.72375305967294,-1.43900421380817,0.618631722225054,-1.75530946634902,0.943547518534789,-1.53769751489245,0.723409408288108,-1.43900421380817,-1.82546323042851,2,1,"Caribbean_17","ABW_17",0.000159348654032088,0.0152672962532426,-1.03352432360272,0.403095062787946,-0.418405936237933,0.670216455403709,-1.45177091118662,1.0885788144449,1.18500383525826
"15",15,25,2002,13,"ABW","Aruba","Caribbean",92074,27.4072391643231,1.06640909275855,0.513160481111508,-0.697814974464875,1.70903118192462,-0.504148199933032,1.51195026471471,1.06640909275855,0.679950076138218,2,1,"Caribbean_13","ABW_13",0.000808354218252497,0.015481660797604,0.568790272599213,0.393608731892848,0.496751883031536,0.600472152875391,1.066350509849,1.00956254556584,1.01921653340938
"16",16,4,2021,32,"ABW","Aruba","Caribbean",107700,4.69780556563498,-1.83734461103068,0.729253396098989,-2.58958733255861,0.357824281703629,-2.34774685675765,0.121940977123835,-1.83734461103068,-2.22380362765101,2,1,"Caribbean_32","ABW_32",-0.00170686246671241,0.0157966219740494,-0.718381547016631,0.434044209759071,-1.1296325877391,0.726440907155789,-1.84972099722244,1.17628173888891,1.38363872924352
"17",17,0,1992,3,"ABW","Aruba","Caribbean",69005,0.561345133608503,-0.388495374196623,1.74749010109911,-2.70803019876775,2.20003463661341,-2.31000651159744,1.80406543859135,-0.388495374196623,-0.774954390816957,2,1,"Caribbean_3","ABW_3",-0.00049220025874121,0.0153536386397756,-0.134250759619157,0.463318466161443,-0.241318200192115,1.24033996602231,-0.376061160070013,1.71901207082353,2.95500249963699
"18",18,335,2015,26,"ABW","Aruba","Caribbean",107906,310.601788942357,0.491844553461257,0.458210648387404,-0.464619710975273,1.7782800435621,-0.280716234929863,1.5977985992785,0.491844553461257,0.105385536840923,2,1,"Caribbean_26","ABW_26",-9.2820054407753e-06,0.0152220536094511,-0.172646238598673,0.380692998875778,0.656276145644954,0.55514549884211,0.48362062504084,0.951060551327339,0.904516172291063
"19",19,130,1999,10,"ABW","Aruba","Caribbean",89659,143.758182766834,3.31154719041377,0.517015508293075,1.89735969167983,4.28989680300673,2.09188577600198,4.09593962616476,3.31154719041377,2.92508817379343,2,1,"Caribbean_10","ABW_10",-0.000511614126530925,0.0151041730280182,0.222174388264705,0.397936146616341,3.09890019424553,0.593647414475943,3.3205629683837,1.0066877341203,1.01342019402827
"20",20,0,1993,4,"ABW","Aruba","Caribbean",73685,0.289835389581214,-1.62250812109548,1.8713904855449,-2.66639987872697,2.41791899390019,-2.25436480717403,2.00751446874584,-1.62250812109548,-2.00896713771582,2,1,"Caribbean_4","ABW_4",-0.00031759912988853,0.0159342624010053,-1.49765379238684,0.47896613044304,-0.116390879919247,1.28926896069,-1.61436227143597,1.78416935353405,3.18326028209011
"21",21,11,2022,33,"ABW","Aruba","Caribbean",107310,10.6161444482091,-0.571203930737707,0.794922830777135,-1.33789370269899,1.72636065887168,-1.09036021505466,1.47722197322221,-0.571203930737707,-0.957662947358041,2,1,"Caribbean_33","ABW_33",0.000571073875941391,0.0155095497867018,-0.768606173518845,0.452716191275452,0.201673582955699,0.755057089243229,-0.566361516687204,1.22328283030538,1.49642088291995
"22",22,1700,2010,21,"ABW","Aruba","Caribbean",101838,1668.87297878824,2.91939201389556,0.458386716837956,0.712827951478078,2.95707142510485,0.895184567338564,2.77484599150284,2.91939201389556,2.53293299727523,2,1,"Caribbean_21","ABW_21",-0.000152221839666277,0.0151735566137908,1.08349661714126,0.384481610031512,1.83344481465823,0.558022533992038,2.91678920995982,0.95767770063734,0.917146578298023
"23",23,1734,2017,28,"ABW","Aruba","Caribbean",108735,1593.65337356112,2.52485833258054,0.458686932520701,2.03827793719513,4.27529030729647,2.22226628974312,4.09585382398935,2.52485833258054,2.13839931596021,2,1,"Caribbean_28","ABW_28",-0.000492307450451377,0.014982491252999,-0.637676647183164,0.385460510629938,3.156145301709,0.558879007784211,2.51797634707539,0.959322009667148,0.920298718231816
"24",24,0,2001,12,"ABW","Aruba","Caribbean",91439,1.80339839614253,-1.7657067720302,0.89267427730392,-4.0676892530219,-0.641782511647275,-3.78987510851514,-0.918988515057682,-1.7657067720302,-2.15216578865054,2,1,"Caribbean_12","ABW_12",0.000379649059304605,0.0155343522927636,0.585815751357026,0.394844688792946,-2.36200841643163,0.845146043449771,-1.7758130160153,1.25552508453548,1.57634323789783
