year,country,iso_a0,region,cases,RISc,risc_intensity,access_to_electricity_percent_of_population,forest_area_percent_of_land_area,gini_index,individuals_using_the_internet_percent_of_population,life_expectancy_at_birth_total_years,people_using_safely_managed_drinking_water_services_percent_of_population,gdp_per_capita_ppp_constant_2021_international,population_ages_0_14_percent_of_total_population,poverty_headcount_ratio_at_2_15_a_day_2017_ppp_percent_of_population,fixed_broadband_subscriptions_per_100_people,average_precipitation_in_depth_mm_per_year,international_tourism_number_of_arrivals,international_tourism_number_of_departures,multidimensional_poverty_headcount_ratio_world_bank_percent_of_population,urban_population_percent_of_total_population,population_total,land_area_sqkm,temp_anomaly,precip_anomaly,conflict_intensity,type_of_conflict,previous_risc
1990,Aruba,ABW,Caribbean,0,0.525374685,high,NA,NA,NA,NA,NA,NA,33050.64428,26.55927806,NA,NA,NA,NA,NA,NA,50.319,62753,180,-0.32687557,0.000474511,0,NA,NA
1991,Aruba,ABW,Caribbean,0,-0.050784988,expected,NA,NA,NA,NA,NA,NA,34550.91789,27.69656961,NA,NA,NA,NA,NA,NA,50.304,65896,180,-0.383588992,-0.000400962,0,NA,0.525374685
1992,Aruba,ABW,Caribbean,0,-0.388495374,expected,NA,NA,NA,NA,NA,NA,35369.99629,28.10240556,NA,NA,NA,NA,NA,NA,49.998,69005,180,-0.227241082,-0.000424247,0,NA,-0.050784988
1993,Aruba,ABW,Caribbean,0,-1.622508121,low,NA,NA,NA,NA,NA,NA,36817.55398,27.52418463,NA,NA,NA,NA,NA,NA,49.588,73685,180,-0.094032807,-0.000146013,0,NA,-0.388495374
1994,Aruba,ABW,Caribbean,0,-2.276720151,low,NA,NA,NA,NA,NA,NA,38584.92616,26.84696261,NA,NA,NA,NA,NA,NA,49.177,77595,180,-0.401501698,-0.000545602,0,NA,-1.622508121
1995,Aruba,ABW,Caribbean,37,3.584099684,high,NA,NA,NA,NA,NA,NA,38366.07179,26.00908501,NA,NA,NA,912000,NA,NA,48.767,79805,180,0.178191461,-9.42E-05,0,NA,-2.276720151
1996,Aruba,ABW,Caribbean,10,1.769970518,high,NA,NA,NA,NA,NA,NA,37663.96356,25.14889759,NA,NA,NA,957000,NA,NA,48.356,83021,180,-0.205253008,-0.000279845,0,NA,3.584099684
1997,Aruba,ABW,Caribbean,0,-1.477983525,low,NA,NA,NA,NA,NA,NA,39115.81311,24.4795866,NA,NA,NA,947000,NA,NA,47.946,86301,180,-0.282782597,-0.000713131,0,NA,1.769970518
1998,Aruba,ABW,Caribbean,0,-1.190648419,low,NA,NA,NA,NA,NA,NA,38714.05869,23.97842452,NA,NA,NA,906000,NA,NA,47.536,88451,180,0.210050382,-0.000339529,0,NA,-1.477983525
1999,Aruba,ABW,Caribbean,130,3.31154719,high,NA,NA,NA,NA,NA,NA,38059.97048,23.60850496,NA,NA,NA,972000,NA,NA,47.127,89659,180,-0.15365875,0.000927586,0,NA,-1.190648419
2000,Aruba,ABW,Caribbean,76,2.539023072,high,NA,NA,NA,NA,NA,NA,39934.24386,23.25563125,NA,NA,NA,1211000,NA,NA,46.717,90588,180,-0.400994979,8.31E-05,0,NA,3.31154719
2001,Aruba,ABW,Caribbean,0,-1.765706772,low,NA,NA,NA,NA,NA,NA,40874.88563,22.87946367,NA,NA,NA,1178000,NA,NA,46.339,91439,180,-0.203012191,-0.00060632,0,NA,2.539023072
2002,Aruba,ABW,Caribbean,25,1.066409093,high,NA,NA,NA,NA,NA,NA,40007.79002,22.50411305,NA,NA,NA,1225000,NA,NA,45.972,92074,180,-0.03680599,-0.000281752,0,NA,-1.765706772
2003,Aruba,ABW,Caribbean,0,-2.231103146,low,NA,NA,NA,NA,NA,NA,40050.61655,22.10278206,NA,1.51555,NA,1184000,NA,NA,45.606,93128,180,0.093017218,1.23E-05,0,NA,1.066409093
2004,Aruba,ABW,Caribbean,173,2.601190855,high,NA,NA,NA,NA,NA,NA,42586.36728,21.66892062,NA,7.46999,NA,1304000,NA,NA,45.24,95138,180,0.007535097,0.001282353,0,NA,-2.231103146
2005,Aruba,ABW,Caribbean,0,-2.832109605,low,NA,NA,NA,NA,NA,NA,41999.79252,21.3578104,NA,13.0256,NA,1286000,NA,NA,44.875,97635,180,0.408647336,0.00065865,0,NA,2.601190855
2006,Aruba,ABW,Caribbean,5,-1.439004214,low,NA,NA,NA,NA,NA,NA,41974.40628,21.24018764,NA,14.627,NA,1285000,NA,NA,44.511,99405,180,0.210525311,-0.00019624,0,NA,-2.832109605
2007,Aruba,ABW,Caribbean,0,-3.18753375,low,NA,NA,NA,NA,NA,NA,42743.22647,21.18311343,NA,16.5612,NA,1254000,NA,NA,44.147,100150,180,0.080021816,0.000101227,0,NA,-1.439004214
2008,Aruba,ABW,Caribbean,0,-3.315558721,low,NA,NA,NA,NA,NA,NA,42990.87354,21.1304543,NA,18.8089,NA,1383000,NA,NA,43.783,100917,180,-0.219978693,0.001231967,0,NA,-3.18753375
2009,Aruba,ABW,Caribbean,845,2.569607721,high,NA,NA,NA,NA,NA,NA,37505.12184,21.05138491,NA,18.9851,NA,1420000,NA,NA,43.421,101604,180,-0.012182278,-0.000447374,0,NA,-3.315558721
2010,Aruba,ABW,Caribbean,1700,2.919392014,high,NA,NA,NA,NA,NA,NA,36069.47673,20.74864338,NA,19.1951,NA,1394000,NA,NA,43.059,101838,180,0.388030169,0.002042829,0,NA,2.569607721
2011,Aruba,ABW,Caribbean,3025,3.194237548,high,NA,NA,NA,NA,NA,NA,36936.14636,20.22500197,NA,NA,NA,1469000,NA,NA,42.94,102591,180,0.028395134,0.001398145,0,NA,2.919392014
2012,Aruba,ABW,Caribbean,0,-4.375379145,low,NA,NA,NA,NA,NA,NA,36256.75835,19.73724801,NA,NA,NA,1481000,NA,NA,42.957,104110,180,0.082150576,-8.78E-05,0,NA,3.194237548
2013,Aruba,ABW,Caribbean,528,1.022599624,high,NA,NA,NA,NA,NA,NA,38300.54122,19.34875583,NA,18.7211,NA,1667000,NA,NA,42.99,105675,180,0.077597735,-0.000428777,0,NA,-4.375379145
2014,Aruba,ABW,Caribbean,400,0.655407593,high,NA,NA,NA,NA,NA,NA,37433.08409,19.04550457,NA,18.5735,NA,1739000,NA,NA,43.041,106807,180,-0.094660801,-0.000671011,0,NA,1.022599624
