adjusted_year,country,ISO_A0,region,cases,population_total,RISc,risc_intensity
1990,Aruba,ABW,Caribbean,0,62753,0.525374685,high
1997,Aruba,ABW,Caribbean,0,86301,-1.477983525,low
2020,Aruba,ABW,Caribbean,11,108587,-1.306625883,low
2023,Aruba,ABW,Caribbean,22,107359,0.521694699,high
2016,Aruba,ABW,Caribbean,1319,108727,1.998576676,high
1991,Aruba,ABW,Caribbean,0,65896,-0.050784988,expected
2003,Aruba,ABW,Caribbean,0,93128,-2.231103146,low
2004,Aruba,ABW,Caribbean,173,95138,2.601190855,high
1998,Aruba,ABW,Caribbean,0,88451,-1.190648419,low
2013,Aruba,ABW,Caribbean,528,105675,1.022599624,high
1995,Aruba,ABW,Caribbean,37,79805,3.584099684,high
2011,Aruba,ABW,Caribbean,3025,102591,3.194237548,high
2007,Aruba,ABW,Caribbean,0,100150,-3.18753375,low
2006,Aruba,ABW,Caribbean,5,99405,-1.439004214,low
2002,Aruba,ABW,Caribbean,25,92074,1.066409093,high
2021,Aruba,ABW,Caribbean,4,107700,-1.837344611,low
1992,Aruba,ABW,Caribbean,0,69005,-0.388495374,expected
2015,Aruba,ABW,Caribbean,335,107906,0.491844553,expected
1999,Aruba,ABW,Caribbean,130,89659,3.31154719,high
1993,Aruba,ABW,Caribbean,0,73685,-1.622508121,low
2022,Aruba,ABW,Caribbean,11,107310,-0.571203931,low
2010,Aruba,ABW,Caribbean,1700,101838,2.919392014,high
2017,Aruba,ABW,Caribbean,1734,108735,2.524858333,high
2001,Aruba,ABW,Caribbean,0,91439,-1.765706772,low
1994,Aruba,ABW,Caribbean,0,77595,-2.276720151,low
2012,Aruba,ABW,Caribbean,0,104110,-4.375379145,low
1996,Aruba,ABW,Caribbean,10,83021,1.769970518,high
2000,Aruba,ABW,Caribbean,76,90588,2.539023072,high
2009,Aruba,ABW,Caribbean,845,101604,2.569607721,high
2014,Aruba,ABW,Caribbean,400,106807,0.655407593,high
2005,Aruba,ABW,Caribbean,0,97635,-2.832109605,low
2008,Aruba,ABW,Caribbean,0,100917,-3.315558721,low
2019,Aruba,ABW,Caribbean,106,109203,0.458529163,expected
2018,Aruba,ABW,Caribbean,9,108908,-2.31549081,low
